episode ,mean     ,max
 781000 ,95533.1  ,176248
 782000 ,92417.6  ,174496
 783000 ,94886.2  ,171272
 784000 ,93444.1  ,173436
 785000 ,94508.7  ,174284
 786000 ,95714.3  ,175812
 787000 ,95749.9  ,176956
 788000 ,93355.9  ,176492
 789000 ,92693.3  ,174900
 790000 ,94900.7  ,175632
 791000 ,94532.1  ,173304
 792000 ,97315.1  ,173544
 793000 ,93800.4  ,175736
 794000 ,92461.1  ,174500
 795000 ,94268.3  ,174752
 796000 ,94464.8  ,175056
 797000 ,91708.9  ,168852
 798000 ,92213.3  ,177720
 799000 ,93652.1  ,175448
 800000 ,92607.1  ,176796
